BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE
BROOKLYN,MARINE PARK,03 THREE FAMILY DWELLINGS,3,860000,996667,965000,1165000
BROOKLYN,MIDWOOD,01 ONE FAMILY DWELLINGS,64,545000,1289846,985000,7000000
BROOKLYN,MIDWOOD,02 TWO FAMILY DWELLINGS,31,219294,1179993,1105000,2200010
BROOKLYN,MIDWOOD,03 THREE FAMILY DWELLINGS,5,245000,1023514,1200000,2000000
BROOKLYN,MILL BASIN,01 ONE FAMILY DWELLINGS,35,460000,1111921,999000,2100000
BROOKLYN,MILL BASIN,02 TWO FAMILY DWELLINGS,18,825000,1053944,970000,1950000
BROOKLYN,MILL BASIN,03 THREE FAMILY DWELLINGS,1,887500,887500,887500,887500
BROOKLYN,NAVY YARD,02 TWO FAMILY DWELLINGS,1,1100000,1100000,1100000,1100000
BROOKLYN,NAVY YARD,03 THREE FAMILY DWELLINGS,2,980000,1102600,1102600,1225200
BROOKLYN,OCEAN HILL,01 ONE FAMILY DWELLINGS,4,390000,873750,752500,1600000
BROOKLYN,OCEAN HILL,02 TWO FAMILY DWELLINGS,65,433000,1104845,1050000,2080000
BROOKLYN,OCEAN HILL,03 THREE FAMILY DWELLINGS,30,267264,917755,855000,1715000
BROOKLYN,OCEAN PARKWAY-NORTH,01 ONE FAMILY DWELLINGS,58,252010,1593086,1187500,9000000
BROOKLYN,OCEAN PARKWAY-NORTH,02 TWO FAMILY DWELLINGS,52,720000,1703200,1525000,4790000
BROOKLYN,OCEAN PARKWAY-NORTH,03 THREE FAMILY DWELLINGS,16,340000,1512692,1624715,2697500
BROOKLYN,OCEAN PARKWAY-SOUTH,01 ONE FAMILY DWELLINGS,22,760000,2478800,1999970,6500000
BROOKLYN,OCEAN PARKWAY-SOUTH,02 TWO FAMILY DWELLINGS,49,330057,1197749,1008068,4180000
BROOKLYN,OCEAN PARKWAY-SOUTH,03 THREE FAMILY DWELLINGS,10,253500,1090850,1110000,1490000
BROOKLYN,OLD MILL BASIN,01 ONE FAMILY DWELLINGS,77,262500,604300,610000,1235613
BROOKLYN,OLD MILL BASIN,02 TWO FAMILY DWELLINGS,23,210000,657478,655000,920000
BROOKLYN,OLD MILL BASIN,03 THREE FAMILY DWELLINGS,2,950000,962500,962500,975000
BROOKLYN,PARK SLOPE,01 ONE FAMILY DWELLINGS,12,1500000,3757583,3737500,6190000
BROOKLYN,PARK SLOPE,02 TWO FAMILY DWELLINGS,32,875000,3025255,2975000,4740000
BROOKLYN,PARK SLOPE,03 THREE FAMILY DWELLINGS,29,967337,2944481,2901000,5103750
BROOKLYN,PARK SLOPE SOUTH,01 ONE FAMILY DWELLINGS,9,625000,1760000,1790000,2850000
BROOKLYN,PARK SLOPE SOUTH,02 TWO FAMILY DWELLINGS,24,510000,1887060,1861500,2999000
BROOKLYN,PARK SLOPE SOUTH,03 THREE FAMILY DWELLINGS,7,350000,1734286,2000000,2300000
BROOKLYN,PROSPECT HEIGHTS,01 ONE FAMILY DWELLINGS,9,2200000,2578322,2275000,4999900
BROOKLYN,PROSPECT HEIGHTS,02 TWO FAMILY DWELLINGS,17,865000,2492647,2300000,4250000
BROOKLYN,PROSPECT HEIGHTS,03 THREE FAMILY DWELLINGS,9,850000,2182778,2250000,3200000
BROOKLYN,RED HOOK,01 ONE FAMILY DWELLINGS,5,1475000,2020000,1700000,2750000
BROOKLYN,RED HOOK,02 TWO FAMILY DWELLINGS,9,650000,1618889,1720000,2150000
BROOKLYN,RED HOOK,03 THREE FAMILY DWELLINGS,4,1450000,1900000,1975000,2200000
BROOKLYN,SEAGATE,01 ONE FAMILY DWELLINGS,11,500000,793493,746000,1263000
BROOKLYN,SEAGATE,02 TWO FAMILY DWELLINGS,9,375000,639211,660000,810000
BROOKLYN,SEAGATE,03 THREE FAMILY DWELLINGS,4,836000,1027500,987000,1300000
BROOKLYN,SHEEPSHEAD BAY,01 ONE FAMILY DWELLINGS,56,250000,781067,764000,1900000
BROOKLYN,SHEEPSHEAD BAY,02 TWO FAMILY DWELLINGS,73,228750,911632,870000,1760000
BROOKLYN,SHEEPSHEAD BAY,03 THREE FAMILY DWELLINGS,12,600000,1127208,1243500,1510000
BROOKLYN,SPRING CREEK,01 ONE FAMILY DWELLINGS,19,547180,548121,547180,565000
BROOKLYN,SPRING CREEK,02 TWO FAMILY DWELLINGS,16,641431,686945,691631,770000
BROOKLYN,SUNSET PARK,01 ONE FAMILY DWELLINGS,11,880000,1077159,975000,1410000
BROOKLYN,SUNSET PARK,02 TWO FAMILY DWELLINGS,63,400000,1347126,1300000,2875122
BROOKLYN,SUNSET PARK,03 THREE FAMILY DWELLINGS,28,639000,1241179,1317500,1800000
BROOKLYN,WILLIAMSBURG-CENTRAL,01 ONE FAMILY DWELLINGS,1,1250000,1250000,1250000,1250000
BROOKLYN,WILLIAMSBURG-CENTRAL,02 TWO FAMILY DWELLINGS,6,630000,1073454,1042861,1500000
BROOKLYN,WILLIAMSBURG-CENTRAL,03 THREE FAMILY DWELLINGS,11,250000,1670909,1975000,2400000
BROOKLYN,WILLIAMSBURG-EAST,01 ONE FAMILY DWELLINGS,5,1150000,1742000,1875000,2550000
BROOKLYN,WILLIAMSBURG-EAST,02 TWO FAMILY DWELLINGS,23,635000,2103000,1760000,5282500
BROOKLYN,WILLIAMSBURG-EAST,03 THREE FAMILY DWELLINGS,7,1500000,1937143,1880000,2500000
BROOKLYN,WILLIAMSBURG-NORTH,01 ONE FAMILY DWELLINGS,2,2900000,4025000,4025000,5150000
BROOKLYN,WILLIAMSBURG-NORTH,02 TWO FAMILY DWELLINGS,2,2999900,2999950,2999950,3000000
BROOKLYN,WILLIAMSBURG-SOUTH,01 ONE FAMILY DWELLINGS,1,4800000,4800000,4800000,4800000
BROOKLYN,WILLIAMSBURG-SOUTH,02 TWO FAMILY DWELLINGS,5,1300000,2140600,1830000,3500000
BROOKLYN,WILLIAMSBURG-SOUTH,03 THREE FAMILY DWELLINGS,1,999999,999999,999999,999999
BROOKLYN,WINDSOR TERRACE,01 ONE FAMILY DWELLINGS,12,770000,1400833,1112500,2650000
BROOKLYN,WINDSOR TERRACE,02 TWO FAMILY DWELLINGS,30,332446,1777265,1797500,2850000
BROOKLYN,WINDSOR TERRACE,03 THREE FAMILY DWELLINGS,3,1350000,1731667,1450000,2395000
BROOKLYN,WYCKOFF HEIGHTS,01 ONE FAMILY DWELLINGS,5,599000,864800,925000,950000
BROOKLYN,WYCKOFF HEIGHTS,02 TWO FAMILY DWELLINGS,14,500000,1055714,995000,1950000
BROOKLYN,WYCKOFF HEIGHTS,03 THREE FAMILY DWELLINGS,7,900000,1045000,1035000,1300000
