BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE
BROOKLYN,PROSPECT HEIGHTS,02 TWO FAMILY DWELLINGS,17,"865,000","2,492,647","2,300,000","4,250,000"
BROOKLYN,PROSPECT HEIGHTS,03 THREE FAMILY DWELLINGS,9,"850,000","2,182,778","2,250,000","3,200,000"
BROOKLYN,RED HOOK,01 ONE FAMILY DWELLINGS,5,"1,475,000","2,020,000","1,700,000","2,750,000"
BROOKLYN,RED HOOK,02 TWO FAMILY DWELLINGS,9,"650,000","1,618,889","1,720,000","2,150,000"
BROOKLYN,RED HOOK,03 THREE FAMILY DWELLINGS,4,"1,450,000","1,900,000","1,975,000","2,200,000"
BROOKLYN,SEAGATE,01 ONE FAMILY DWELLINGS,11,"500,000","793,493","746,000","1,263,000"
BROOKLYN,SEAGATE,02 TWO FAMILY DWELLINGS,9,"375,000","639,211","660,000","810,000"
BROOKLYN,SEAGATE,03 THREE FAMILY DWELLINGS,4,"836,000","1,027,500","987,000","1,300,000"
BROOKLYN,SHEEPSHEAD BAY,01 ONE FAMILY DWELLINGS,56,"250,000","781,067","764,000","1,900,000"
BROOKLYN,SHEEPSHEAD BAY,02 TWO FAMILY DWELLINGS,73,"228,750","911,632","870,000","1,760,000"
BROOKLYN,SHEEPSHEAD BAY,03 THREE FAMILY DWELLINGS,12,"600,000","1,127,208","1,243,500","1,510,000"
BROOKLYN,SPRING CREEK,01 ONE FAMILY DWELLINGS,19,"547,180","548,121","547,180","565,000"
BROOKLYN,SPRING CREEK,02 TWO FAMILY DWELLINGS,16,"641,431","686,945","691,631","770,000"
BROOKLYN,SUNSET PARK,01 ONE FAMILY DWELLINGS,11,"880,000","1,077,159","975,000","1,410,000"
BROOKLYN,SUNSET PARK,02 TWO FAMILY DWELLINGS,63,"400,000","1,347,126","1,300,000","2,875,122"
BROOKLYN,SUNSET PARK,03 THREE FAMILY DWELLINGS,28,"639,000","1,241,179","1,317,500","1,800,000"
BROOKLYN,WILLIAMSBURG-CENTRAL,01 ONE FAMILY DWELLINGS,1,"1,250,000","1,250,000","1,250,000","1,250,000"
BROOKLYN,WILLIAMSBURG-CENTRAL,02 TWO FAMILY DWELLINGS,6,"630,000","1,073,454","1,042,861","1,500,000"
BROOKLYN,WILLIAMSBURG-CENTRAL,03 THREE FAMILY DWELLINGS,11,"250,000","1,670,909","1,975,000","2,400,000"
BROOKLYN,WILLIAMSBURG-EAST,01 ONE FAMILY DWELLINGS,5,"1,150,000","1,742,000","1,875,000","2,550,000"
BROOKLYN,WILLIAMSBURG-EAST,02 TWO FAMILY DWELLINGS,23,"635,000","2,103,000","1,760,000","5,282,500"
BROOKLYN,WILLIAMSBURG-EAST,03 THREE FAMILY DWELLINGS,7,"1,500,000","1,937,143","1,880,000","2,500,000"
BROOKLYN,WILLIAMSBURG-NORTH,01 ONE FAMILY DWELLINGS,2,"2,900,000","4,025,000","4,025,000","5,150,000"
BROOKLYN,WILLIAMSBURG-NORTH,02 TWO FAMILY DWELLINGS,2,"2,999,900","2,999,950","2,999,950","3,000,000"
BROOKLYN,WILLIAMSBURG-SOUTH,01 ONE FAMILY DWELLINGS,1,"4,800,000","4,800,000","4,800,000","4,800,000"
BROOKLYN,WILLIAMSBURG-SOUTH,02 TWO FAMILY DWELLINGS,5,"1,300,000","2,140,600","1,830,000","3,500,000"
BROOKLYN,WILLIAMSBURG-SOUTH,03 THREE FAMILY DWELLINGS,1,"999,999","999,999","999,999","999,999"
BROOKLYN,WINDSOR TERRACE,01 ONE FAMILY DWELLINGS,12,"770,000","1,400,833","1,112,500","2,650,000"
BROOKLYN,WINDSOR TERRACE,02 TWO FAMILY DWELLINGS,30,"332,446","1,777,265","1,797,500","2,850,000"
BROOKLYN,WINDSOR TERRACE,03 THREE FAMILY DWELLINGS,3,"1,350,000","1,731,667","1,450,000","2,395,000"
BROOKLYN,WYCKOFF HEIGHTS,01 ONE FAMILY DWELLINGS,5,"599,000","864,800","925,000","950,000"
BROOKLYN,WYCKOFF HEIGHTS,02 TWO FAMILY DWELLINGS,14,"500,000","1,055,714","995,000","1,950,000"
BROOKLYN,WYCKOFF HEIGHTS,03 THREE FAMILY DWELLINGS,7,"900,000","1,045,000","1,035,000","1,300,000"
