BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE
QUEENS,MASPETH,03 THREE FAMILY DWELLINGS,10,"430,000","1,066,900","1,125,000","1,430,000"
QUEENS,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS,121,"250,000","737,551","743,000","1,800,000"
QUEENS,MIDDLE VILLAGE,02 TWO FAMILY DWELLINGS,71,"299,100","862,107","872,500","1,450,000"
QUEENS,MIDDLE VILLAGE,03 THREE FAMILY DWELLINGS,8,"850,000","1,134,625","1,165,000","1,355,000"
QUEENS,NEPONSIT,01 ONE FAMILY DWELLINGS,15,"598,000","1,038,800","1,125,000","1,735,000"
QUEENS,OAKLAND GARDENS,01 ONE FAMILY DWELLINGS,38,"450,000","929,856","865,000","1,990,000"
QUEENS,OAKLAND GARDENS,02 TWO FAMILY DWELLINGS,14,"850,000","1,365,202","1,377,944","1,980,000"
QUEENS,OAKLAND GARDENS,03 THREE FAMILY DWELLINGS,1,"1,210,000","1,210,000","1,210,000","1,210,000"
QUEENS,OZONE PARK,01 ONE FAMILY DWELLINGS,104,"200,000","564,984","577,500","975,000"
QUEENS,OZONE PARK,02 TWO FAMILY DWELLINGS,96,"250,000","740,172","726,500","1,430,000"
QUEENS,OZONE PARK,03 THREE FAMILY DWELLINGS,8,"551,250","965,781","1,015,000","1,235,000"
QUEENS,QUEENS VILLAGE,01 ONE FAMILY DWELLINGS,243,"237,500","563,848","570,000","850,000"
QUEENS,QUEENS VILLAGE,02 TWO FAMILY DWELLINGS,50,"225,000","622,767","627,500","913,059"
QUEENS,QUEENS VILLAGE,03 THREE FAMILY DWELLINGS,3,"640,000","751,667","685,000","930,000"
QUEENS,REGO PARK,01 ONE FAMILY DWELLINGS,45,"250,000","897,186","899,800","1,399,999"
QUEENS,REGO PARK,02 TWO FAMILY DWELLINGS,9,"805,000","1,029,167","950,000","1,370,000"
QUEENS,REGO PARK,03 THREE FAMILY DWELLINGS,3,"965,000","1,354,333","1,410,000","1,688,000"
QUEENS,RICHMOND HILL,01 ONE FAMILY DWELLINGS,132,"275,000","583,372","592,500","885,000"
QUEENS,RICHMOND HILL,02 TWO FAMILY DWELLINGS,140,"250,000","772,029","739,500","5,700,000"
QUEENS,RICHMOND HILL,03 THREE FAMILY DWELLINGS,18,"375,000","957,467","959,500","1,350,000"
QUEENS,RIDGEWOOD,01 ONE FAMILY DWELLINGS,17,"330,000","835,000","855,000","1,225,000"
QUEENS,RIDGEWOOD,02 TWO FAMILY DWELLINGS,60,"535,000","976,834","962,500","1,760,000"
QUEENS,RIDGEWOOD,03 THREE FAMILY DWELLINGS,15,"700,000","1,143,776","1,190,000","1,415,000"
QUEENS,ROCKAWAY PARK,01 ONE FAMILY DWELLINGS,7,"390,000","550,429","590,000","756,000"
QUEENS,ROCKAWAY PARK,02 TWO FAMILY DWELLINGS,11,"480,000","862,636","900,000","1,175,000"
QUEENS,ROCKAWAY PARK,03 THREE FAMILY DWELLINGS,5,"650,000","896,400","929,000","1,100,000"
QUEENS,ROSEDALE,01 ONE FAMILY DWELLINGS,119,"233,000","563,853","540,000","1,180,000"
QUEENS,ROSEDALE,02 TWO FAMILY DWELLINGS,84,"248,750","760,397","807,500","999,999"
QUEENS,ROSEDALE,03 THREE FAMILY DWELLINGS,8,"510,000","741,687","760,000","930,000"
QUEENS,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY DWELLINGS,217,"210,000","476,555","468,000","980,000"
QUEENS,SO. JAMAICA-BAISLEY PARK,02 TWO FAMILY DWELLINGS,105,"230,000","672,249","675,000","1,125,000"
QUEENS,SO. JAMAICA-BAISLEY PARK,03 THREE FAMILY DWELLINGS,1,"631,325","631,325","631,325","631,325"
QUEENS,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS,119,"210,000","499,022","510,000","915,000"
QUEENS,SOUTH JAMAICA,02 TWO FAMILY DWELLINGS,100,"221,684","667,521","695,500","1,039,214"
QUEENS,SOUTH JAMAICA,03 THREE FAMILY DWELLINGS,12,"355,000","783,285","795,000","1,384,820"
QUEENS,SOUTH OZONE PARK,01 ONE FAMILY DWELLINGS,141,"255,000","549,041","530,000","1,325,000"
QUEENS,SOUTH OZONE PARK,02 TWO FAMILY DWELLINGS,83,"230,000","721,500","720,000","1,360,000"
QUEENS,SOUTH OZONE PARK,03 THREE FAMILY DWELLINGS,2,"280,000","565,000","565,000","850,000"
QUEENS,SPRINGFIELD GARDENS,01 ONE FAMILY DWELLINGS,181,"200,000","536,201","520,000","990,000"
QUEENS,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,128,"265,000","691,271","695,000","1,180,000"
QUEENS,SPRINGFIELD GARDENS,03 THREE FAMILY DWELLINGS,1,"798,000","798,000","798,000","798,000"
QUEENS,ST. ALBANS,01 ONE FAMILY DWELLINGS,259,"200,000","520,003","525,000","999,000"
QUEENS,ST. ALBANS,02 TWO FAMILY DWELLINGS,103,"250,000","636,825","615,000","999,000"
QUEENS,ST. ALBANS,03 THREE FAMILY DWELLINGS,5,"725,557","806,111","840,000","860,000"
QUEENS,SUNNYSIDE,01 ONE FAMILY DWELLINGS,19,"308,221","994,433","1,050,000","1,320,000"
QUEENS,SUNNYSIDE,02 TWO FAMILY DWELLINGS,13,"485,000","1,056,115","1,150,000","1,675,000"
QUEENS,SUNNYSIDE,03 THREE FAMILY DWELLINGS,1,"990,000","990,000","990,000","990,000"
QUEENS,WHITESTONE,01 ONE FAMILY DWELLINGS,107,"339,450","1,026,149","900,000","2,460,000"
QUEENS,WHITESTONE,02 TWO FAMILY DWELLINGS,52,"445,000","1,161,848","1,185,000","1,914,310"
QUEENS,WHITESTONE,03 THREE FAMILY DWELLINGS,5,"920,000","1,136,800","950,000","1,450,000"
QUEENS,WOODHAVEN,01 ONE FAMILY DWELLINGS,84,"250,000","580,339","580,000","950,000"
QUEENS,WOODHAVEN,02 TWO FAMILY DWELLINGS,92,"290,000","776,793","762,444","1,690,000"
QUEENS,WOODHAVEN,03 THREE FAMILY DWELLINGS,6,"349,800","701,195","797,500","900,000"
QUEENS,WOODSIDE,01 ONE FAMILY DWELLINGS,17,"469,810","786,037","775,000","1,215,000"
QUEENS,WOODSIDE,02 TWO FAMILY DWELLINGS,19,"355,000","1,055,050","1,050,000","1,800,000"
QUEENS,WOODSIDE,03 THREE FAMILY DWELLINGS,12,"250,000","1,348,863","1,439,000","1,870,000"
