BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE
QUEENS,KEW GARDENS,02 TWO FAMILY DWELLINGS,6,580000,777500,775000,960000
QUEENS,KEW GARDENS,03 THREE FAMILY DWELLINGS,2,980000,1240000,1240000,1500000
QUEENS,LAURELTON,01 ONE FAMILY DWELLINGS,145,220000,537179,550000,1075000
QUEENS,LAURELTON,02 TWO FAMILY DWELLINGS,33,313100,686061,725000,998000
QUEENS,LAURELTON,03 THREE FAMILY DWELLINGS,2,595000,682500,682500,770000
QUEENS,LITTLE NECK,01 ONE FAMILY DWELLINGS,75,360000,940478,865000,2800000
QUEENS,LITTLE NECK,02 TWO FAMILY DWELLINGS,10,950000,1301166,1268500,1710660
QUEENS,LONG ISLAND CITY,01 ONE FAMILY DWELLINGS,2,1680000,1739500,1739500,1799000
QUEENS,LONG ISLAND CITY,02 TWO FAMILY DWELLINGS,10,950000,1538290,1525000,2550000
QUEENS,LONG ISLAND CITY,03 THREE FAMILY DWELLINGS,7,570000,1502347,1081431,3130000
QUEENS,MASPETH,01 ONE FAMILY DWELLINGS,59,230000,695571,747000,1150000
QUEENS,MASPETH,02 TWO FAMILY DWELLINGS,73,213000,893858,897000,1475000
QUEENS,MASPETH,03 THREE FAMILY DWELLINGS,10,430000,1066900,1125000,1430000
QUEENS,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS,121,250000,737551,743000,1800000
QUEENS,MIDDLE VILLAGE,02 TWO FAMILY DWELLINGS,71,299100,862107,872500,1450000
QUEENS,MIDDLE VILLAGE,03 THREE FAMILY DWELLINGS,8,850000,1134625,1165000,1355000
QUEENS,NEPONSIT,01 ONE FAMILY DWELLINGS,15,598000,1038800,1125000,1735000
QUEENS,OAKLAND GARDENS,01 ONE FAMILY DWELLINGS,38,450000,929856,865000,1990000
QUEENS,OAKLAND GARDENS,02 TWO FAMILY DWELLINGS,14,850000,1365202,1377944,1980000
QUEENS,OAKLAND GARDENS,03 THREE FAMILY DWELLINGS,1,1210000,1210000,1210000,1210000
QUEENS,OZONE PARK,01 ONE FAMILY DWELLINGS,104,200000,564984,577500,975000
QUEENS,OZONE PARK,02 TWO FAMILY DWELLINGS,96,250000,740172,726500,1430000
QUEENS,OZONE PARK,03 THREE FAMILY DWELLINGS,8,551250,965781,1015000,1235000
QUEENS,QUEENS VILLAGE,01 ONE FAMILY DWELLINGS,243,237500,563848,570000,850000
QUEENS,QUEENS VILLAGE,02 TWO FAMILY DWELLINGS,50,225000,622767,627500,913059
QUEENS,QUEENS VILLAGE,03 THREE FAMILY DWELLINGS,3,640000,751667,685000,930000
QUEENS,REGO PARK,01 ONE FAMILY DWELLINGS,45,250000,897186,899800,1399999
QUEENS,REGO PARK,02 TWO FAMILY DWELLINGS,9,805000,1029167,950000,1370000
QUEENS,REGO PARK,03 THREE FAMILY DWELLINGS,3,965000,1354333,1410000,1688000
QUEENS,RICHMOND HILL,01 ONE FAMILY DWELLINGS,132,275000,583372,592500,885000
QUEENS,RICHMOND HILL,02 TWO FAMILY DWELLINGS,140,250000,772029,739500,5700000
QUEENS,RICHMOND HILL,03 THREE FAMILY DWELLINGS,18,375000,957467,959500,1350000
QUEENS,RIDGEWOOD,01 ONE FAMILY DWELLINGS,17,330000,835000,855000,1225000
QUEENS,RIDGEWOOD,02 TWO FAMILY DWELLINGS,60,535000,976834,962500,1760000
QUEENS,RIDGEWOOD,03 THREE FAMILY DWELLINGS,15,700000,1143776,1190000,1415000
QUEENS,ROCKAWAY PARK,01 ONE FAMILY DWELLINGS,7,390000,550429,590000,756000
QUEENS,ROCKAWAY PARK,02 TWO FAMILY DWELLINGS,11,480000,862636,900000,1175000
QUEENS,ROCKAWAY PARK,03 THREE FAMILY DWELLINGS,5,650000,896400,929000,1100000
QUEENS,ROSEDALE,01 ONE FAMILY DWELLINGS,119,233000,563853,540000,1180000
QUEENS,ROSEDALE,02 TWO FAMILY DWELLINGS,84,248750,760397,807500,999999
QUEENS,ROSEDALE,03 THREE FAMILY DWELLINGS,8,510000,741687,760000,930000
QUEENS,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY DWELLINGS,217,210000,476555,468000,980000
QUEENS,SO. JAMAICA-BAISLEY PARK,02 TWO FAMILY DWELLINGS,105,230000,672249,675000,1125000
QUEENS,SO. JAMAICA-BAISLEY PARK,03 THREE FAMILY DWELLINGS,1,631325,631325,631325,631325
QUEENS,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS,119,210000,499022,510000,915000
QUEENS,SOUTH JAMAICA,02 TWO FAMILY DWELLINGS,100,221684,667521,695500,1039214
QUEENS,SOUTH JAMAICA,03 THREE FAMILY DWELLINGS,12,355000,783285,795000,1384820
QUEENS,SOUTH OZONE PARK,01 ONE FAMILY DWELLINGS,141,255000,549041,530000,1325000
QUEENS,SOUTH OZONE PARK,02 TWO FAMILY DWELLINGS,83,230000,721500,720000,1360000
QUEENS,SOUTH OZONE PARK,03 THREE FAMILY DWELLINGS,2,280000,565000,565000,850000
QUEENS,SPRINGFIELD GARDENS,01 ONE FAMILY DWELLINGS,181,200000,536201,520000,990000
QUEENS,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,128,265000,691271,695000,1180000
QUEENS,SPRINGFIELD GARDENS,03 THREE FAMILY DWELLINGS,1,798000,798000,798000,798000
QUEENS,ST. ALBANS,01 ONE FAMILY DWELLINGS,259,200000,520003,525000,999000
QUEENS,ST. ALBANS,02 TWO FAMILY DWELLINGS,103,250000,636825,615000,999000
QUEENS,ST. ALBANS,03 THREE FAMILY DWELLINGS,5,725557,806111,840000,860000
QUEENS,SUNNYSIDE,01 ONE FAMILY DWELLINGS,19,308221,994433,1050000,1320000
QUEENS,SUNNYSIDE,02 TWO FAMILY DWELLINGS,13,485000,1056115,1150000,1675000
QUEENS,SUNNYSIDE,03 THREE FAMILY DWELLINGS,1,990000,990000,990000,990000
QUEENS,WHITESTONE,01 ONE FAMILY DWELLINGS,107,339450,1026149,900000,2460000
QUEENS,WHITESTONE,02 TWO FAMILY DWELLINGS,52,445000,1161848,1185000,1914310
QUEENS,WHITESTONE,03 THREE FAMILY DWELLINGS,5,920000,1136800,950000,1450000
QUEENS,WOODHAVEN,01 ONE FAMILY DWELLINGS,84,250000,580339,580000,950000
QUEENS,WOODHAVEN,02 TWO FAMILY DWELLINGS,92,290000,776793,762444,1690000
QUEENS,WOODHAVEN,03 THREE FAMILY DWELLINGS,6,349800,701195,797500,900000
QUEENS,WOODSIDE,01 ONE FAMILY DWELLINGS,17,469810,786037,775000,1215000
QUEENS,WOODSIDE,02 TWO FAMILY DWELLINGS,19,355000,1055050,1050000,1800000
QUEENS,WOODSIDE,03 THREE FAMILY DWELLINGS,12,250000,1348863,1439000,1870000
